Community 1,Community 2,statistic,pvalue,holm_pvalue,significant
Isocortex (L),Isocortex (L),0.8437816822720128,1.2125190887783452e-07,1.2125190887783453e-05,True
Isocortex (L),Pallium (L),0.7691044381833179,4.175777137164494e-07,3.54941056658982e-05,True
Isocortex (L),Subpallium (L),0.7184690105069671,9.678665051830726e-07,6.291132283689972e-05,True
Isocortex (L),Diencephalon (L),0.6827824552190885,1.7523696425417821e-06,9.462796069725623e-05,True
Isocortex (L),Midbrain (L),0.6884278438746783,1.5951869351019012e-06,9.124582394849108e-05,True
Isocortex (L),Hindbrain (L),0.5581466686158137,1.4062056330532144e-05,0.0001624943609581894,True
Isocortex (L),White Matter (L),0.8095162029826607,2.137585509418014e-07,2.0948337992296538e-05,True
Isocortex (L),Isocortex (R),0.6292517489214596,4.278027120166744e-06,0.00015667088698128663,True
Isocortex (L),Pallium (R),0.7478354872688965,5.942738962601015e-07,4.694763780454802e-05,True
Isocortex (L),Subpallium (R),0.6491999464549769,3.0666504936923246e-06,0.00012924441873755481,True
Isocortex (L),Diencephalon (R),0.5745664595738149,1.0677994899835465e-05,0.0001624943609581894,True
Isocortex (L),Midbrain (R),0.6020367598296619,6.741654903389583e-06,0.0001624943609581894,True
Isocortex (L),Hindbrain (R),0.5758040559841489,1.0458847672551772e-05,0.0001624943609581894,True
Isocortex (L),White Matter (R),0.6427860303265982,3.412971747896835e-06,0.00013438150803609284,True
Pallium (L),Pallium (L),0.5819411646836213,9.43704298390099e-06,0.0001624943609581894,True
Pallium (L),Subpallium (L),0.7207055548946982,9.325511917998328e-07,6.24809298505888e-05,True
Pallium (L),Diencephalon (L),0.7947994959312848,2.7275668485515663e-07,2.509361500667441e-05,True
Pallium (L),Midbrain (L),0.6216541105539388,4.8568350746428275e-06,0.00015667088698128663,True
Pallium (L),Hindbrain (L),0.6633640915867166,2.4216109676843703e-06,0.00011865893741653414,True
Pallium (L),White Matter (L),0.6689696005069559,2.2056552279423557e-06,0.0001146940718530025,True
Pallium (L),Isocortex (R),0.6119780951896173,5.709200648768737e-06,0.0001606958085092292,True
Pallium (L),Pallium (R),0.7536469980779196,5.396338382887858e-07,4.3710340901391656e-05,True
Pallium (L),Subpallium (R),0.6065668138174436,6.249783113776515e-06,0.0001624943609581894,True
Pallium (L),Diencephalon (R),0.562895538763557,1.2985422440905977e-05,0.0001624943609581894,True
Pallium (L),Midbrain (R),0.64373181079861,3.359537700902321e-06,0.00013438150803609284,True
Pallium (L),Hindbrain (R),0.39192095878182276,0.00023334946922428932,0.00023334946922428932,True
Pallium (L),White Matter (R),0.6061610223363663,6.292334589857632e-06,0.0001624943609581894,True
Subpallium (L),Subpallium (L),0.604701897504521,6.447756194148411e-06,0.0001624943609581894,True
Subpallium (L),Diencephalon (L),0.7701779580401997,4.1020967143928695e-07,3.527803174377868e-05,True
Subpallium (L),Midbrain (L),0.6209502619429167,4.91428139299561e-06,0.00015667088698128663,True
Subpallium (L),Hindbrain (L),0.6298663502872449,4.23434829679153e-06,0.00015667088698128663,True
Subpallium (L),White Matter (L),0.7494059174059785,5.789838750918849e-07,4.631871000735079e-05,True
Subpallium (L),Isocortex (R),0.6169405653845383,5.254796417276707e-06,0.00015764389251830122,True
Subpallium (L),Pallium (R),0.7551341917405255,5.26479720372929e-07,4.317133707058018e-05,True
Subpallium (L),Subpallium (R),0.6629895836587392,2.4367731472563103e-06,0.00011865893741653414,True
Subpallium (L),Diencephalon (R),0.5839993960810957,9.117301271485e-06,0.0001624943609581894,True
Subpallium (L),Midbrain (R),0.578217611693807,1.0044372760135675e-05,0.0001624943609581894,True
Subpallium (L),Hindbrain (R),0.5320891108965018,2.1781097792609375e-05,0.0001624943609581894,True
Subpallium (L),White Matter (R),0.6566529197391247,2.7082503527993398e-06,0.00012457951622876963,True
Diencephalon (L),Diencephalon (L),0.651782421581378,2.937373153126246e-06,0.00012924441873755481,True
Diencephalon (L),Midbrain (L),0.6248397508245183,4.605143130568461e-06,0.00015667088698128663,True
Diencephalon (L),Hindbrain (L),0.65995578514234,2.563161949684288e-06,0.00012046861163516154,True
Diencephalon (L),White Matter (L),0.7998760458747461,2.507580463108942e-07,2.3571256353224054e-05,True
Diencephalon (L),Isocortex (R),0.5461874204626309,1.718771477032707e-05,0.0001624943609581894,True
Diencephalon (L),Pallium (R),0.5570441405846237,1.4324576918117051e-05,0.0001624943609581894,True
Diencephalon (L),Subpallium (R),0.581442487311331,9.516191052726365e-06,0.0001624943609581894,True
Diencephalon (L),Diencephalon (R),0.5503715671213908,1.6021814633500242e-05,0.0001624943609581894,True
Diencephalon (L),Midbrain (R),0.6112515157501611,5.778964240621156e-06,0.0001606958085092292,True
Diencephalon (L),Hindbrain (R),0.580897069887737,9.60352085978619e-06,0.0001624943609581894,True
Diencephalon (L),White Matter (R),0.7124637302833269,1.0694692914297568e-06,6.673897753725512e-05,True
Midbrain (L),Midbrain (L),0.7434339513988109,6.39320335028511e-07,4.9227665797195345e-05,True
Midbrain (L),Hindbrain (L),0.7453013289801899,6.198053819421979e-07,4.8344819791491435e-05,True
Midbrain (L),White Matter (L),0.6489920369451163,3.077303361909584e-06,0.00012924441873755481,True
Midbrain (L),Isocortex (R),0.5872964416599361,8.627620099578494e-06,0.0001624943609581894,True
Midbrain (L),Pallium (R),0.6272247076184656,4.425316529516557e-06,0.00015667088698128663,True
Midbrain (L),Subpallium (R),0.595462297150085,7.525466452724354e-06,0.0001624943609581894,True
Midbrain (L),Diencephalon (R),0.7645991997968165,4.4997406070486086e-07,3.779782109920831e-05,True
Midbrain (L),Midbrain (R),0.7345051284311168,7.41494125058524e-07,5.4129071129272255e-05,True
Midbrain (L),Hindbrain (R),0.6878085939960719,1.6117139696633478e-06,9.124582394849108e-05,True
