ROI,pvalue,holm_pvalue,significant
317,3.6948398021574426e-11,9.163202709350457e-09,True
83,3.957980768498298e-11,9.776212498190795e-09,True
292,4.0937060462085106e-11,1.0070516873672937e-08,True
274,4.331283305330875e-11,1.0611644098060644e-08,True
28,5.205028111611168e-11,1.270026859233125e-08,True
243,5.693290162690339e-11,1.3834695095337524e-08,True
109,5.886531467010212e-11,1.4245406150164714e-08,True
226,7.468109761080308e-11,1.799814452420354e-08,True
241,7.518511819109123e-11,1.8044428365861896e-08,True
204,7.955700702140006e-11,1.9014124678114613e-08,True
183,8.96330895124619e-11,2.133267530396593e-08,True
233,1.0552127784152522e-10,2.500854284844148e-08,True
97,1.20503529923944e-10,2.8438833062050785e-08,True
154,1.3037732746007929e-10,3.0638671953118634e-08,True
329,1.3318103105057597e-10,3.116436126583478e-08,True
246,1.4322470601087154e-10,3.337135650053307e-08,True
32,1.4637806661273052e-10,3.3826251899076516e-08,True
12,1.4580280990981256e-10,3.3826251899076516e-08,True
182,1.5454456849240794e-10,3.5545250753253825e-08,True
263,1.5740254756881532e-10,3.604518339325871e-08,True
115,3.061542301134438e-10,6.980316446586519e-08,True
122,3.2228567839268557e-10,7.315884899513963e-08,True
177,3.464957686117558e-10,7.830804370625681e-08,True
235,4.2046478821312155e-10,9.460457734795235e-08,True
281,4.440765891323598e-10,9.94731559656486e-08,True
19,4.881231822979944e-10,1.0885146965245274e-07,True
191,5.459053345869623e-10,1.2119098427830563e-07,True
180,5.632782631766975e-10,1.2448449616205015e-07,True
60,6.33901971003358e-10,1.3945843362073876e-07,True
80,6.683638262802832e-10,1.4637167795538202e-07,True
145,6.914354758319178e-10,1.5073293373135808e-07,True
218,7.304201589897793e-10,1.5850117450078212e-07,True
30,7.397221231455773e-10,1.597799785994447e-07,True
321,7.471671609451997e-10,1.6064093960321793e-07,True
295,1.0141815345214642e-09,2.1703484838759335e-07,True
118,1.0204040246176535e-09,2.1734605724356018e-07,True
88,1.0984887991401855e-09,2.3122826360550871e-07,True
309,1.1016172398092003e-09,2.3122826360550871e-07,True
137,1.090699356629758e-09,2.3122826360550871e-07,True
254,1.0932197547050356e-09,2.3122826360550871e-07,True
323,1.1621240432698168e-09,2.417218010001219e-07,True
271,1.2196437303102862e-09,2.5246625217422927e-07,True
298,1.2373727580136444e-09,2.5489878815081076e-07,True
110,1.3097639652792916e-09,2.685016128822548e-07,True
126,1.3268908286688072e-09,2.706857290484367e-07,True
144,1.3372395429367768e-09,2.714596272161657e-07,True
157,1.3398359628316274e-09,2.714596272161657e-07,True
223,1.380555096262737e-09,2.774915743488101e-07,True
74,1.5994304124139571e-09,3.1988608248279143e-07,True
85,1.7284845520812247e-09,3.439684258641637e-07,True
21,1.8139343622869858e-09,3.591590037328232e-07,True
253,1.9586517380290192e-09,3.8585439239171677e-07,True
255,2.1683944827061374e-09,4.2500531861040294e-07,True
1,2.3652891864130493e-09,4.612313913505446e-07,True
169,2.542732613350805e-09,4.932901269900562e-07,True
285,2.6001044751816587e-09,5.018201637100601e-07,True
248,2.861619669614517e-09,5.494309765659873e-07,True
34,3.849981491580012e-09,7.353464648917824e-07,True
163,3.8734212167714e-09,7.35950031186566e-07,True
225,4.000198918131761e-09,7.560375955269028e-07,True
167,4.569412591861441e-09,8.59049567269951e-07,True
78,5.205815566296879e-09,9.734875108975164e-07,True
238,6.029530462384964e-09,1.1214926660036033e-06,True
26,6.14504509108546e-09,1.13683334185081e-06,True
16,6.960032756847263e-09,1.2806460272598962e-06,True
240,8.668320194436558e-09,1.5863025955818902e-06,True
213,8.68753572916473e-09,1.5863025955818902e-06,True
260,1.0028683594595253e-08,1.8151917306217409e-06,True
8,1.0037751447069348e-08,1.8151917306217409e-06,True
75,1.128904581062183e-08,2.0207392001013076e-06,True
5,1.1393220212663067e-08,2.0279931978540257e-06,True
14,1.1975215805211151e-08,2.1196131975223736e-06,True
77,1.4377045060110727e-08,2.530359930579488e-06,True
152,1.4709019160131187e-08,2.5740783530229578e-06,True
73,1.4830070429809998e-08,2.5804322547869396e-06,True
198,1.662897713379756e-08,2.876813044146978e-06,True
284,1.855441356706468e-08,3.191359133535125e-06,True
41,2.1794522286223895e-08,3.7268633109442863e-06,True
187,2.4073134045727444e-08,4.092432787773665e-06,True
282,2.508703430691514e-08,4.239708797868659e-06,True
258,2.6311223284251828e-08,4.420285511754307e-06,True
31,2.6853541667426956e-08,4.484541458460302e-06,True
147,2.795487165775724e-08,4.640508695187702e-06,True
6,2.9422891404266392e-08,4.8547770817039545e-06,True
100,3.3572234398465255e-08,5.505846441348302e-06,True
10,3.444575996224825e-08,5.614658873846465e-06,True
17,3.4603866399307366e-08,5.614658873846465e-06,True
199,3.4829253984930876e-08,5.614658873846465e-06,True
113,3.516860297111687e-08,5.626976475378699e-06,True
7,3.668794984716125e-08,5.833384025698639e-06,True
95,3.79657553460555e-08,5.998589344676768e-06,True
272,3.920035971378012e-08,6.154456475063478e-06,True
37,4.069972554703997e-08,6.349157185338236e-06,True
3,4.152273906657332e-08,6.436024555318865e-06,True
59,4.235415449793209e-08,6.5225397926815415e-06,True
220,4.408648002579277e-08,6.745231443946294e-06,True
195,4.862617476199367e-08,7.391178563823037e-06,True
27,5.4247023732169926e-08,8.19130058355766e-06,True
47,5.445297533829754e-08,8.19130058355766e-06,True
11,5.5359118987692255e-08,8.248508729166145e-06,True
117,5.5540671979132525e-08,8.248508729166145e-06,True
250,6.431446957821992e-08,9.454227027998327e-06,True
275,6.64671439960523e-08,9.704203023423635e-06,True
200,7.72085262710248e-08,1.1195236309298596e-05,True
245,7.875152756646015e-08,1.1340219969570262e-05,True
276,8.270458680490557e-08,1.1826755913101497e-05,True
174,8.375369160509792e-08,1.1893024207923905e-05,True
211,8.736547280052141e-08,1.2318531664873518e-05,True
273,8.827689471890765e-08,1.2358765260647071e-05,True
76,1.0121370121948767e-07,1.4068704469508786e-05,True
42,1.0362981805681579e-07,1.4300914891840579e-05,True
68,1.0600705840900746e-07,1.4522967002034022e-05,True
205,1.11567049871997e-07,1.5173118782591592e-05,True
55,1.170116394110567e-07,1.5796571320492654e-05,True
69,1.3160863724139627e-07,1.76355573903471e-05,True
108,1.3547698681593304e-07,1.8018439246519094e-05,True
296,1.421113182463585e-07,1.8758694008519323e-05,True
194,1.7420291930454854e-07,2.282058242889586e-05,True
4,1.7852354289196322e-07,2.320806057595522e-05,True
216,2.2977185578178275e-07,2.9640569395849976e-05,True
302,2.390704915926879e-07,3.0601022923864054e-05,True
168,2.483107521636346e-07,3.153056255839742e-05,True
22,2.4827214612911354e-07,3.153056255839742e-05,True
102,2.5384924516438297e-07,3.1731155645547874e-05,True
29,2.6154058959134474e-07,3.243103310932675e-05,True
192,2.6732465182064467e-07,3.288093217393929e-05,True
301,3.097941154458297e-07,3.7794882084391224e-05,True
325,3.1009717313819355e-07,3.7794882084391224e-05,True
36,3.101732276153719e-07,3.7794882084391224e-05,True
164,3.138957724064391e-07,3.7794882084391224e-05,True
267,3.2968139996556374e-07,3.8902405195936524e-05,True
264,3.371690329414229e-07,3.944877685414648e-05,True
171,3.4655317593761684e-07,4.020016840876355e-05,True
291,3.5996509810650515e-07,4.139598628224809e-05,True
82,3.8559591818635193e-07,4.395793467324412e-05,True
161,4.081193046425484e-07,4.611748142460797e-05,True
24,4.127685621988425e-07,4.623007896627036e-05,True
146,4.2381748812994913e-07,4.704374118242435e-05,True
262,4.536604632992252e-07,4.990265096291477e-05,True
193,4.7360095352660697e-07,5.162250393440016e-05,True
107,4.991274383534442e-07,5.3905763342171977e-05,True
87,5.266842800754354e-07,5.635521796807159e-05,True
130,6.231367422684757e-07,6.605249468045842e-05,True
328,6.416697989102424e-07,6.737532888557546e-05,True
67,6.934729455535286e-07,7.212118633756698e-05,True
52,7.230565946351688e-07,7.447482924742239e-05,True
279,7.462519617804624e-07,7.611770010160716e-05,True
303,7.716129507733074e-07,7.793290802810405e-05,True
165,8.257291485040571e-07,8.257291485040571e-05,True
143,8.320970449578612e-07,8.257291485040571e-05,True
142,8.438979433017307e-07,8.270199844356961e-05,True
202,8.907110349197944e-07,8.639897038722005e-05,True
90,9.24611577837961e-07,8.870910514567231e-05,True
70,9.240531786007533e-07,8.870910514567231e-05,True
330,9.56994994845104e-07,8.995752951543978e-05,True
268,1.0506349527132745e-06,9.770905060233452e-05,True
257,1.083635718964224e-06,9.969448614470861e-05,True
179,1.1508452883737247e-06,0.00010472692124200895,True
206,1.1725092967530206e-06,0.00010552583670777185,True
151,1.1840895211003194e-06,0.00010552583670777185,True
33,1.227250938924087e-06,0.00010799808262531965,True
236,1.2502537120285521e-06,0.00010877207294648404,True
96,1.4881409530279396e-06,0.0001279801219604028,True
2,1.5142963829322142e-06,0.00012871519254923822,True
256,1.6364376652626144e-06,0.0001374607638820596,True
320,1.7667170576905113e-06,0.00014663751578831245,True
159,1.8383865906296145e-06,0.0001507477004316284,True
170,1.9610234676579337e-06,0.00015884290088029264,True
134,1.978518881369822e-06,0.00015884290088029264,True
25,1.9903934479522104e-06,0.00015884290088029264,True
150,2.309615942258031e-06,0.00018015004349612642,True
166,3.494806834817227e-06,0.0002691001262809265,True
234,3.7287677287964435e-06,0.0002833863473885297,True
48,4.482609993005517e-06,0.00033619574947541377,True
94,4.543923629913756e-06,0.00033625034861361797,True
266,4.80469372912095e-06,0.00035074264222582934,True
294,4.966803614163807e-06,0.0003576098602197941,True
44,5.908290113076697e-06,0.0004194885980284455,True
116,7.178745404744829e-06,0.000502512178332138,True
91,7.587930781994768e-06,0.000523567223957639,True
214,8.993182416307107e-06,0.0006115364043088832,True
101,9.25043700943041e-06,0.0006197792796318375,True
242,1.0057473699791143e-05,0.0006637932641862154,True
39,1.0155137501083561e-05,0.0006637932641862154,True
40,1.0543588407744828e-05,0.000674789658095669,True
92,1.0981955244271816e-05,0.0006918631803891245,True
106,1.2038064939530713e-05,0.0007463600262509042,True
308,1.4037872800139777e-05,0.0008563102408085264,True
197,1.4109812020683102e-05,0.0008563102408085264,True
50,1.693415312289285e-05,0.000999115034250678,True
139,1.8167308628986995e-05,0.0010537039004812458,True
259,1.842603565806591e-05,0.0010537039004812458,True
316,2.165249335201748e-05,0.001212539627712979,True
136,2.261926930235438e-05,0.0012440598116294909,True
209,2.346206899837907e-05,0.0012669517259124698,True
304,2.3737023976564183e-05,0.0012669517259124698,True
45,2.5356822254019564e-05,0.0013062285705168996,True
129,2.5119780202248068e-05,0.0013062285705168996,True
318,2.6704093703540587e-05,0.0013352046851770293,True
84,3.5809713858931686e-05,0.0017546759790876526,True
56,4.1359512304089926e-05,0.0019852565905963166,True
188,4.2783633465880655e-05,0.002010830772896391,True
305,4.631048877260372e-05,0.002130282483539771,True
162,5.304947788271806e-05,0.0023872265047223127,True
265,5.7696779250594164e-05,0.0025386582870261434,True
222,6.506330387517972e-05,0.002797722066632728,True
131,7.159694194334961e-05,0.002996682922706125,True
283,7.134959339776488e-05,0.002996682922706125,True
