roi,metric,statistic,pvalue
1117,volume_mm3,9025.39349070489,1.999998000002e-06
1097,rd,130806429108.444,9.99999000001e-07
106,volume_mm3,758.854504387236,9.99999000001e-07
1133,rd,4376990254.87757,0.0001479998520001
1062,rd,5203013959.66705,9.99999000001e-07
122,rd,18313296821.7041,9.99999000001e-07
163,adc,15974377267.2884,9.99999000001e-07
100,fa,1119.59598445153,0.0005739994260005
65,fa,7478.6158346924,9.99999000001e-07
157,rd,21952842503.3056,9.99999000001e-07
1076,fa,3022.33759094889,6.999993000007e-06
141,volume_mm3,254.296575264933,9.99999000001e-07
136,fa,77.5251875094052,0.0028599971400028
22,adc,26364494461.3257,9.99999000001e-07
1005,fa,7985.25686039552,9.99999000001e-07
1068,adc,43501593276.0704,9.99999000001e-07
1027,rd,10742524818.6524,9.99999000001e-07
30,fa,4497.32635419967,0.0009189990810009
16,rd,2717099835.5212,0.0534689465310535
128,adc,31745501846.2666,1.999998000002e-06
1,volume_mm3,15.1077063543855,9.99999000001e-07
1011,volume_mm3,63.2754162243715,1.999998000002e-06
35,volume_mm3,267.280032645058,0.0002109997890002
1046,volume_mm3,7427.91020625487,9.99999000001e-07
92,adc,240081316129.645,9.99999000001e-07
1138,adc,6696090910.29458,9.99999000001e-07
1081,volume_mm3,2.7938753425107,2.999997000003e-06
1032,adc,52692943552.4454,9.99999000001e-07
1103,adc,75947775822.2543,1.999998000002e-06
87,rd,55691272812.632,9.99999000001e-07
1040,fa,49150.9333307971,9.99999000001e-07
1152,volume_mm3,151.100358829428,9.99999000001e-07
51,rd,32223142368.9151,8.999991000009e-06
1146,fa,2275.35509873676,9.99999000001e-07
57,adc,1990973147.37345,4.999995000005e-06
71,volume_mm3,1446.40802039435,7.0999929000071e-05
1111,fa,7804.29086749697,1.999998000002e-06
1134,rd,6613125433.55239,9.99999000001e-07
1118,volume_mm3,8.37835789520387,0.0013939986060013
101,fa,4726.32792986456,9.99999000001e-07
107,volume_mm3,326.09085576787,9.99999000001e-07
1098,rd,188264055914.328,9.99999000001e-07
1006,fa,6819.4022022909,9.99999000001e-07
2,volume_mm3,4.89826114079227,0.0178709821290179
1047,volume_mm3,886.292408660435,1.999998000002e-05
158,rd,141350385097.483,9.99999000001e-07
142,volume_mm3,4411.21897909875,9.99999000001e-07
1077,fa,55733.3150340456,9.99999000001e-07
1063,rd,2420902243.94764,9.99999000001e-07
123,rd,5058462905.65084,2.2999977000023e-05
164,adc,51237955972.3961,9.99999000001e-07
23,adc,29342467423.7238,9.99999000001e-07
66,fa,24678.4639801971,9.99999000001e-07
1041,fa,1825.4215341096,1.999998000002e-06
31,fa,47182.4726272798,9.99999000001e-07
1069,adc,34023942568.4733,9.99999000001e-07
129,adc,7181019044.6854,9.99999000001e-07
137,fa,6731.88461549074,9.99999000001e-07
1033,adc,2142395120.6816,0.440622559377441
93,adc,207859307332.014,9.99999000001e-07
36,volume_mm3,120.925875422652,9.99999000001e-07
17,rd,12925414207.7912,2.999997000003e-06
1082,volume_mm3,8.37704103053631,9.99999000001e-07
1153,volume_mm3,968.626096957379,9.99999000001e-07
1139,adc,4841339940.53967,9.99999000001e-07
1104,adc,41878304800.5601,4.999995000005e-06
1012,volume_mm3,27.0575363440168,0.0018029981970018
58,adc,43490949607.5008,9.99999000001e-07
1028,rd,7122302486.06586,9.99999000001e-07
1112,fa,2288.39155619687,3.0999969000031e-05
52,rd,16065177382.8823,1.999998000002e-06
72,volume_mm3,0.717514418708974,6.0999939000061e-05
1147,fa,987.691744527186,9.99999000001e-07
88,rd,46377910914.6299,9.99999000001e-07
108,volume_mm3,44385.7161537603,1.999998000002e-05
1135,rd,103131487302.683,9.99999000001e-07
24,adc,99689449902.3231,9.99999000001e-07
159,rd,11591288731.6013,9.99999000001e-07
3,volume_mm3,124.60346825812,9.99999000001e-07
1078,fa,7929.4136756701,2.1999978000022e-05
1119,volume_mm3,295.775997902202,9.99999000001e-07
1048,volume_mm3,5804.63479100995,0.0001419998580001
165,adc,78655652816.1452,9.99999000001e-07
1007,fa,8447.17369159888,9.99999000001e-07
1064,rd,14326762511.5521,5.1999948000052e-05
143,volume_mm3,115.695999101812,9.99999000001e-07
1099,rd,33015316131.7704,5.6999943000057e-05
102,fa,11452.2488629005,9.99999000001e-07
138,fa,753.45705925686,0.0006609993390006
1042,fa,159035.672690648,9.99999000001e-07
124,rd,8842146502.04055,9.99999000001e-07
1034,adc,24061822278.5051,1.999998000002e-06
1070,adc,92714058613.081,9.99999000001e-07
37,volume_mm3,1.07069801510499,0.0001629998370001
67,fa,2631.31332376691,9.99999000001e-07
32,fa,125242.906503978,9.99999000001e-07
130,adc,3102856270.83001,5.4999945000055e-05
1154,volume_mm3,9129.69552181994,9.99999000001e-07
94,adc,159773709656.312,9.99999000001e-07
18,rd,3044232567.33786,0.0002509997490002
1013,volume_mm3,905.685325426189,9.99999000001e-07
1029,rd,9746647762.84919,9.99999000001e-07
1105,adc,18839343400.7232,0.002009997990002
1083,volume_mm3,13.9790189897257,9.99999000001e-07
1140,adc,42901652386.8598,9.99999000001e-07
1148,fa,6148.65118732417,9.99999000001e-07
59,adc,9563027188.66838,9.99999000001e-07
73,volume_mm3,2.37722567261283,9.99999000001e-07
1113,fa,117071.766149653,9.99999000001e-07
89,rd,5254598473.3566,2.999997000003e-06
53,rd,32781504368.5651,1.999998000002e-05
109,volume_mm3,10.6290981798673,0.0001989998010001
1049,volume_mm3,599.119501385589,9.99999000001e-07
1136,rd,26116333896.4768,9.99999000001e-07
1141,adc,9141989026.53866,9.99999000001e-07
25,adc,27230566148.2935,9.99999000001e-07
1155,volume_mm3,1264.01729686021,1.3999986000014e-05
160,rd,17936381421.0768,9.99999000001e-07
1008,fa,34265.8165386328,9.99999000001e-07
1079,fa,17386.0453293503,9.99999000001e-07
144,volume_mm3,1216.93069901676,9.99999000001e-07
166,adc,45465364704.0251,9.99999000001e-07
1100,rd,11639653771.2722,0.0114019885980114
4,volume_mm3,243.454846244282,7.3999926000074e-05
1120,volume_mm3,3.61384651706309,1.7999982000018e-05
1065,rd,5809645400.5807,0.0004489995510004
103,fa,27052.8671878107,9.99999000001e-07
139,fa,2164.61272708327,9.99999000001e-07
1043,fa,307097.112713184,9.99999000001e-07
1035,adc,6681148469.19279,4.999995000005e-06
125,rd,705369067.089841,0.0105679894320106
38,volume_mm3,57.3209875901033,9.99999000001e-07
1114,fa,1574.80311917854,6.4999935000065e-05
131,adc,12330131002.9456,1.999998000002e-06
1149,fa,209.275438814068,9.99999000001e-07
95,adc,1448239086.46882,0.0355879644120356
33,fa,1877.09112574478,0.0248709751290249
68,fa,34043.7341993663,9.99999000001e-07
1084,volume_mm3,13667.3567627671,9.99999000001e-07
19,rd,9159528656.48687,9.99999000001e-07
1030,rd,17143385467.8396,9.99999000001e-07
1106,adc,24997517190.0674,0.0067099932900067
90,rd,2989498444.9487,1.999998000002e-06
1071,adc,14104881825.5789,3.999996000004e-06
1014,volume_mm3,632.392922385823,9.99999000001e-07
74,volume_mm3,405.272759634817,9.99999000001e-07
60,adc,2932619086.16644,9.99999000001e-07
54,rd,26182398418.4234,9.99999000001e-07
1050,volume_mm3,24926.1835255084,9.99999000001e-07
110,volume_mm3,2262.83099319797,9.99999000001e-07
