m,block_1,block_2,effect_size,model,scalar_same,omni_same,mase_same,scalar_diff,omni_diff,mase_diff,scalar_precision,omni_precision,mase_precision,scalar_f1,omni_f1,mase_f1,scalar_fp,omni_fp,mase_fp,scalar_tp,omni_tp,mase_tp
200,69,1,1,generate_graphs_1,0.0,0.04782608695652173,0.06666666666666667,0.0,1.0,0.08,0.0,1.0,0.01,0.0,0.4244689754689751,0.004567085182887193,0.0,0.047142857142857084,0.06571428571428573,0.0,0.014285714285714256,0.001142857142857143
200,69,1,1,generate_graphs_4,0.0,0.04999999999999999,0.05246376811594202,0.0,0.05,0.04,0.0,0.02,0.0,0.0,0.018190476190476187,0.002038627152988855,0.0,0.04928571428571424,0.05171428571428572,0.0,0.0007142857142857143,0.0005714285714285714
200,68,2,1,generate_graphs_1,0.0,0.05544117647058824,0.13220588235294117,0.0,1.0,0.18,0.0,1.0,0.03,0.0,0.5501158841158835,0.020155178494389546,0.0,0.053857142857142805,0.12842857142857145,0.0,0.02857142857142851,0.0051428571428571435
200,68,2,1,generate_graphs_4,0.0,0.045441176470588235,0.05558823529411765,0.0,0.05,0.05,0.0,0.03,0.045,0.0,0.03383333333333333,0.008807697878702924,0.0,0.04414285714285708,0.054000000000000006,0.0,0.0014285714285714288,0.0014285714285714288
200,67,3,1,generate_graphs_1,0.0,0.04343283582089552,0.1425373134328358,0.0,1.0,0.18666666666666668,0.0,1.0,0.07999999999999996,0.0,0.69857992007992,0.02989062170255051,0.0,0.04157142857142853,0.13642857142857145,0.0,0.042857142857142795,0.007999999999999998
200,67,3,1,generate_graphs_4,0.0,0.052089552238805965,0.041492537313432824,0.0,0.06333333333333334,0.04666666666666667,0.0,0.04666666666666666,0.03666666666666667,0.0,0.05334920634920635,0.008950158093540446,0.0,0.0498571428571428,0.03971428571428571,0.0,0.0027142857142857147,0.002
200,66,4,1,generate_graphs_1,0.0,0.049999999999999996,0.27075757575757575,0.0,1.0,0.39999999999999997,0.0,1.0,0.0725,0.0,0.7233404373404368,0.08411150870136572,0.0,0.04714285714285709,0.25528571428571434,0.0,0.05714285714285702,0.022857142857142843
200,66,4,1,generate_graphs_4,0.0,0.05075757575757576,0.04878787878787878,0.0,0.0775,0.060000000000000005,0.0,0.09,0.0675,0.0,0.07637518037518039,0.011694955973284259,0.0,0.0478571428571428,0.046,0.0,0.004428571428571429,0.0034285714285714293
200,65,5,1,generate_graphs_1,0.0,0.04846153846153846,0.38661538461538464,0.0,1.0,0.548,0.0,1.0,0.10599999999999998,0.0,0.77243601986249,0.12850777087802517,0.0,0.04499999999999995,0.35900000000000015,0.0,0.07142857142857136,0.03914285714285712
200,65,5,1,generate_graphs_4,0.0,0.05,0.05938461538461538,0.0,0.13,0.05,0.0,0.1599999999999999,0.08800000000000002,0.0,0.13515312465312465,0.01520765201495135,0.0,0.0464285714285714,0.05514285714285715,0.0,0.009285714285714279,0.003571428571428572
200,64,6,1,generate_graphs_1,0.0,0.061875,0.5504687500000001,0.0,1.0,0.7566666666666667,0.0,1.0,0.12333333333333327,0.0,0.7641743992087234,0.18547983550159752,0.0,0.056571428571428495,0.5032857142857143,0.0,0.08571428571428559,0.06485714285714278
200,64,6,1,generate_graphs_4,0.0,0.047812499999999994,0.0559375,0.0,0.27166666666666667,0.075,0.0,0.3116666666666667,0.115,0.0,0.2856613255165885,0.02730963274352235,0.0,0.04371428571428568,0.051142857142857136,0.0,0.02328571428571426,0.006428571428571428
200,63,7,1,generate_graphs_1,0.0,0.17158730158730154,0.6420634920634921,0.0,1.0,0.8414285714285714,0.0,1.0,0.18142857142857138,0.0,0.5884738825184959,0.2180192209324559,0.0,0.15442857142857125,0.577857142857143,0.0,0.09999999999999981,0.084142857142857
200,63,7,1,generate_graphs_4,0.0,0.04952380952380951,0.019682539682539687,0.0,0.9185714285714285,0.019999999999999997,0.0,0.9,0.13285714285714287,0.0,0.7720086073197528,0.006333528436250122,0.0,0.04457142857142852,0.017714285714285714,0.0,0.09185714285714269,0.002
200,62,8,1,generate_graphs_1,0.0,0.31580645161290316,0.743225806451613,0.0,1.0,0.945,0.0,1.0,0.19875,0.0,0.4539644150956685,0.2470750214640053,0.0,0.2797142857142856,0.6582857142857144,0.0,0.11428571428571405,0.10799999999999978
200,62,8,1,generate_graphs_4,0.0,0.0446774193548387,0.036935483870967734,0.0,0.99875,0.04,0.0,0.995,0.1175,0.0,0.8585377189389023,0.015566865690427584,0.0,0.03957142857142852,0.03271428571428572,0.0,0.1141428571428569,0.004571428571428571
200,61,9,1,generate_graphs_1,0.0,0.4039344262295082,0.7911475409836066,0.0,1.0,0.9533333333333331,0.0,0.9988888888888888,0.21555555555555533,0.0,0.42587229697691653,0.26180153713218834,0.0,0.352,0.6894285714285715,0.0,0.12857142857142825,0.12257142857142828
200,61,9,1,generate_graphs_4,0.0,0.0562295081967213,0.09196721311475409,0.0,1.0,0.09333333333333332,0.0,0.9977777777777778,0.14333333333333323,0.0,0.8450898471475128,0.039380547898421846,0.0,0.04899999999999996,0.08014285714285713,0.0,0.12857142857142825,0.011999999999999997
200,60,10,1,generate_graphs_1,0.0,0.4580000000000001,0.8551666666666666,0.0,1.0,0.992,0.0,1.0,0.218,0.0,0.4235442766059506,0.2797268861541192,0.0,0.39257142857142846,0.733,0.0,0.1428571428571427,0.14171428571428557
200,60,10,1,generate_graphs_4,0.0,0.04733333333333333,0.11399999999999998,0.0,1.0,0.146,0.0,1.0,0.1809999999999999,0.0,0.8797895582678177,0.06643533580545362,0.0,0.04057142857142852,0.09771428571428573,0.0,0.1428571428571427,0.020857142857142855
200,59,11,1,generate_graphs_1,0.0,0.5115254237288136,0.8622033898305085,0.0,1.0,0.9881818181818183,0.0,1.0,0.25272727272727297,0.0,0.4240777486883195,0.3000984518095508,0.0,0.43114285714285694,0.7267142857142861,0.0,0.15714285714285692,0.15528571428571408
200,59,11,1,generate_graphs_4,0.0,0.054745762711864404,0.13864406779661018,0.0,1.0,0.1781818181818182,0.0,1.0,0.22181818181818191,0.0,0.8753106854308474,0.08151559324278185,0.0,0.046142857142857104,0.11685714285714283,0.0,0.15714285714285692,0.027999999999999997
200,58,12,1,generate_graphs_1,0.0,0.5494827586206896,0.8768965517241379,0.0,1.0,0.9925,0.0,1.0,0.2108333333333334,0.0,0.4315179975201236,0.3197014348633507,0.0,0.4552857142857141,0.7265714285714288,0.0,0.17142857142857118,0.17014285714285687
200,58,12,1,generate_graphs_4,0.0,0.05206896551724137,0.25551724137931037,0.0,1.0,0.36000000000000004,0.0,1.0,0.26416666666666655,0.0,0.8921358746185216,0.16992392504943918,0.0,0.04314285714285711,0.21171428571428588,0.0,0.17142857142857118,0.06171428571428573
200,57,13,1,generate_graphs_1,0.0,0.5859649122807018,0.8810526315789473,0.0,1.0,0.9953846153846153,0.0,1.0,0.17999999999999985,0.0,0.439294130683446,0.34088672484936977,0.0,0.4771428571428569,0.7174285714285717,0.0,0.18571428571428567,0.18485714285714278
