,ROI,pvalue,signal,bonferroni,holm,fdr_bh,fdr_by
1,1,0.63248147575208,False,1.0,1.0,0.6543728964032841,1.0
2,2,0.4420910102934577,False,1.0,1.0,0.5023761480607474,1.0
3,3,0.29610096979410777,False,1.0,1.0,0.3701262122426347,1.0
4,4,0.04906761870787154,False,1.0,1.0,0.09086596057013248,0.40882461486957095
5,5,0.13425587262722236,False,1.0,1.0,0.1997284472113302,0.8986192959094634
6,6,0.47764791725161276,False,1.0,1.0,0.519182518751753,1.0
7,7,0.4629012492262996,False,1.0,1.0,0.5143347213625551,1.0
8,8,0.0779727296456284,False,1.0,1.0,0.12183239007129437,0.5481489397902003
9,9,0.054785476425858515,False,1.0,1.0,0.09783120790331877,0.44016269285382753
10,10,0.06014863889662588,False,1.0,1.0,0.10024773149437648,0.4510351286949134
11,11,0.04344966062752685,False,1.0,1.0,0.08355703966832087,0.3759402789307127
12,12,0.13581534410370455,False,1.0,1.0,0.1997284472113302,0.8986192959094634
13,13,0.0568904805090494,False,1.0,1.0,0.09808703536043001,0.44131371311455364
14,14,0.25263028255688763,False,1.0,1.0,0.3238849776370354,1.0
15,15,0.15984921018911688,False,1.0,1.0,0.22201279192932902,0.9988811386258568
16,16,0.241449769707812,False,1.0,1.0,0.3176970654050158,1.0
17,17,0.6412854384752185,False,1.0,1.0,0.6543728964032841,1.0
18,18,0.33477323522051255,False,1.0,1.0,0.4082600429518446,1.0
19,19,0.5190304823738324,False,1.0,1.0,0.5521600876317366,1.0
20,20,0.6706074876323589,False,1.0,1.0,0.6706074876323589,1.0
21,21,0.18382670706520993,False,1.0,1.0,0.24841446900704045,1.0
22,22,0.02118180365626136,False,1.0,0.5930905023753181,0.04604739925274209,0.2071767045341235
23,23,0.15444893934052414,False,1.0,1.0,0.2206413419150345,0.9927107034002909
24,24,0.34543817745667205,False,1.0,1.0,0.41123592554365723,1.0
25,25,0.42629446521224695,False,1.0,1.0,0.4956912386188918,1.0
26,26,3.8810876374162736e-05,True,0.0019405438187081367,0.001785300313211486,0.00038810876374162736,0.0017461810216787628
27,27,0.03265796051176146,True,1.0,0.8817649338175594,0.06803741773283638,0.3061143130697264
28,28,0.0006810876272063176,True,0.03405438136031588,0.027243505088252705,0.0028258213300321987,0.01271395041324602
29,29,0.0730262333846231,True,1.0,1.0,0.11778424739455337,0.5299355146486882
30,30,3.136788990783515e-05,True,0.0015683944953917576,0.0014742908256682521,0.00038810876374162736,0.0017461810216787628
31,31,0.0007912299724090157,True,0.03956149862045078,0.02927550897913358,0.0028258213300321987,0.01271395041324602
32,32,0.0009606663084569039,True,0.048033315422845196,0.034583987104448544,0.0032022210281896796,0.014407449944541744
33,33,1.0856083158092914e-07,True,5.428041579046457e-06,5.428041579046457e-06,5.428041579046457e-06,2.4421873649119894e-05
34,34,0.0007465643943468389,True,0.037328219717341946,0.02836944698517988,0.0028258213300321987,0.01271395041324602
35,35,0.00021324315520592974,True,0.010662157760296487,0.009169455673854979,0.001332769720037061,0.005996404639154555
36,36,9.783643369728334e-05,True,0.004891821684864167,0.004304803082680467,0.0006988316692663095,0.003144187176956642
37,37,6.674464486260506e-06,True,0.0003337232243130253,0.0003203742953405043,0.00011124107477100844,0.0005004964374512238
38,38,0.0021928034116607343,True,0.10964017058303671,0.07455531599646496,0.006104440632439236,0.027465131880985653
39,39,0.004347485712158851,True,0.21737428560794253,0.13911954278908323,0.01144075187410224,0.05147429190646315
40,40,1.1564771467863902e-06,True,5.782385733931951e-05,5.666738019253312e-05,2.8911928669659755e-05,0.00013008070381193267
41,41,0.0020879066409348604,True,0.10439533204674302,0.07307673243272012,0.006104440632439236,0.027465131880985653
42,42,0.0021975986276781246,True,0.10987993138390623,0.07455531599646496,0.006104440632439236,0.027465131880985653
43,43,0.009564740969242725,True,0.4782370484621362,0.277377488108039,0.02173804765736983,0.09780394006489776
44,44,0.00039751951532545455,True,0.019875975766272726,0.016298300128343636,0.0019875975766272726,0.008942609627212052
45,45,0.0007218010929763789,True,0.036090054648818946,0.028150242626078775,0.0028258213300321987,0.01271395041324602
46,46,0.00033625325079340233,True,0.016812662539670117,0.014122636533322897,0.001868073615518902,0.008404846783334991
47,47,0.005903388556029115,True,0.2951694278014558,0.18300504523690256,0.014758471390072787,0.06640139326379756
48,48,0.008749625948552575,True,0.43748129742762876,0.26248877845657725,0.02083244273464899,0.09372943756217475
49,49,0.034252830086863265,True,1.0,0.8905735822584449,0.06850566017372653,0.3082210319594118
50,50,7.049683060272592e-05,True,0.003524841530136296,0.003172357377122666,0.0005874735883560494,0.0026431643048590798
