,ROI,pvalue,signal,bonferroni,holm,fdr_bh,fdr_by
1,1,0.2948065010440801,False,1.0,1.0,0.36850812630510016,1.0
2,2,0.1318072444851411,False,1.0,1.0,0.19383418306638397,0.8720997912029976
3,3,0.06755294428823434,False,1.0,1.0,0.1299095082466045,0.5844895530028733
4,4,0.10759861131590324,False,1.0,1.0,0.17354614728371492,0.7808197523053946
5,5,0.13848348320406303,False,1.0,1.0,0.19783354743437578,0.8900937527173908
6,6,0.6495991110177481,False,1.0,1.0,0.6910628840614342,1.0
7,7,0.692620594147771,False,1.0,1.0,0.7214797855705948,1.0
8,8,0.7837589702668719,False,1.0,1.0,0.7997540512927265,1.0
9,9,0.4547624293595352,False,1.0,1.0,0.5052915881772613,1.0
10,10,0.32728479625181583,False,1.0,1.0,0.3896247574426379,1.0
11,11,0.14733761407832432,False,1.0,1.0,0.2046355751087838,0.9206974719415519
12,12,0.13055195032492417,False,1.0,1.0,0.19383418306638397,0.8720997912029976
13,13,0.26979574311910465,False,1.0,1.0,0.3458919783578265,1.0
14,14,0.11383331908101761,False,1.0,1.0,0.17786456106409002,0.8002491826391736
15,15,0.389591251521115,False,1.0,1.0,0.4530130831640872,1.0
16,16,0.09116987938732014,False,1.0,1.0,0.1519497989788669,0.683653346723801
17,17,0.002551053543635193,False,0.12755267718175964,0.09183792757086695,0.008503511812117311,0.03825904573962552
18,18,0.15564861911676198,False,1.0,1.0,0.21033597177940808,0.94634472707262
19,19,0.6178545285461936,False,1.0,1.0,0.6715810092893408,1.0
20,20,0.07202653387782389,False,1.0,1.0,0.1333824701441183,0.600115121711982
21,21,0.02923526901466691,False,1.0,0.7893522633960066,0.06090681044722274,0.27403224670476284
22,22,0.008836335009972716,False,0.4418167504986358,0.2739263853091542,0.022090837524931788,0.09939121412034106
23,23,0.08069474514911887,False,1.0,1.0,0.1440977591948551,0.6483254074107999
24,24,0.010596244911918042,False,0.5298122455959021,0.31788734735754126,0.025229154552185815,0.1135111468427325
25,25,0.02326514021116274,False,1.0,0.6514239259125567,0.05057639176339726,0.22755357181531727
26,26,0.23901047345078774,False,1.0,1.0,0.31448746506682596,1.0
27,27,0.9937708751236463,False,1.0,1.0,0.9937708751236463,1.0
28,28,0.42627209134128546,False,1.0,1.0,0.4844001037969153,1.0
29,29,0.060651356304138045,False,1.0,1.0,0.12130271260827609,0.5457658121209957
30,30,0.3078253567912561,False,1.0,1.0,0.3753967765747026,1.0
31,31,0.006626737851399171,True,0.3313368925699586,0.21443913306295445,0.017438783819471504,0.07846066925453897
32,32,0.0030956872879416555,True,0.15478436439708276,0.10834905507795795,0.009674022774817673,0.0435254149115801
33,33,5.3603275665148696e-05,True,0.0026801637832574348,0.00246575068059684,0.0005360327566514869,0.002411721440245807
34,34,0.011514817708346939,True,0.5757408854173469,0.3339297135420612,0.026170040246243042,0.11774438478019257
35,35,2.993365157900863e-06,True,0.00014966825789504315,0.00014667489273714228,7.244894889796565e-05,0.00032596269763808267
36,36,0.00013699024012785922,True,0.006849512006392961,0.006164560805753665,0.001033098225799273,0.0046481210525347455
37,37,0.0007830214058726912,True,0.03915107029363456,0.03053783482903496,0.003087314839446001,0.013890463406739096
38,38,1.2966904196192499e-05,True,0.000648345209809625,0.0006094444972210474,0.00016208630245240623,0.0007292595572639437
39,39,0.08590502914814788,True,1.0,1.0,0.14811211922094464,0.6663868374701581
40,40,0.0008027018582559603,True,0.040135092912798015,0.03053783482903496,0.003087314839446001,0.013890463406739096
41,41,0.00036190920143220647,True,0.018095460071610323,0.015562095661584879,0.002100457109850308,0.0094503878415705
42,42,0.0004698779910600174,True,0.02349389955300087,0.019264997633460713,0.0023493899553000868,0.010570387828703677
43,43,0.00014463375161189823,True,0.007231687580594911,0.006363885070923522,0.001033098225799273,0.0046481210525347455
44,44,0.0013504938074165545,True,0.06752469037082773,0.04996827087441252,0.004823192169344837,0.021700531956104965
45,45,0.0006377694318406789,True,0.031888471592033944,0.025510777273627157,0.002898951962912177,0.013042980147095028
46,46,4.3469369338779385e-06,True,0.00021734684669389692,0.00020865297282614105,7.244894889796565e-05,0.00032596269763808267
47,47,0.00037808227977305543,True,0.01890411398865277,0.015879455750468327,0.002100457109850308,0.0094503878415705
48,48,0.0064981555473622565,True,0.3249077773681128,0.21443913306295445,0.017438783819471504,0.07846066925453897
49,49,0.005820734858889353,True,0.29103674294446763,0.197904985202238,0.017119808408498097,0.0770255333826916
50,50,2.3166483610111706e-07,True,1.1583241805055853e-05,1.1583241805055853e-05,1.1583241805055853e-05,5.211538336446784e-05
