,ROI,pvalue,signal,bonferroni,holm,fdr_bh,fdr_by
1,1,0.9128003706473868,False,1.0,1.0,0.9766268198688084,1.0
2,2,0.7102309643685185,False,1.0,1.0,0.9766268198688084,1.0
3,3,0.8076286070591967,False,1.0,1.0,0.9766268198688084,1.0
4,4,0.7765445092469869,False,1.0,1.0,0.9766268198688084,1.0
5,5,0.4308421146729505,False,1.0,1.0,0.9766268198688084,1.0
6,6,0.7786781073369428,False,1.0,1.0,0.9766268198688084,1.0
7,7,0.2694180167547602,False,1.0,1.0,0.9766268198688084,1.0
8,8,0.16398532322952405,False,1.0,1.0,0.9766268198688084,1.0
9,9,0.7702400427769431,False,1.0,1.0,0.9766268198688084,1.0
10,10,0.7127688444934843,False,1.0,1.0,0.9766268198688084,1.0
11,11,0.9629979711472468,False,1.0,1.0,0.9766268198688084,1.0
12,12,0.16977755182420928,False,1.0,1.0,0.9766268198688084,1.0
13,13,0.2676069105696381,False,1.0,1.0,0.9766268198688084,1.0
14,14,0.9766268198688084,False,1.0,1.0,0.9766268198688084,1.0
15,15,0.42979310768351964,False,1.0,1.0,0.9766268198688084,1.0
16,16,0.8209766193209416,False,1.0,1.0,0.9766268198688084,1.0
17,17,0.8963309000030313,False,1.0,1.0,0.9766268198688084,1.0
18,18,0.9007624666272626,False,1.0,1.0,0.9766268198688084,1.0
19,19,0.6934667177324731,False,1.0,1.0,0.9766268198688084,1.0
20,20,0.3052978801195937,False,1.0,1.0,0.9766268198688084,1.0
21,21,0.3795445874071452,False,1.0,1.0,0.9766268198688084,1.0
22,22,0.40447918650363035,False,1.0,1.0,0.9766268198688084,1.0
23,23,0.6506324124832692,False,1.0,1.0,0.9766268198688084,1.0
24,24,0.8445366361943989,False,1.0,1.0,0.9766268198688084,1.0
25,25,0.406514208507718,False,1.0,1.0,0.9766268198688084,1.0
26,26,0.5871099607920857,False,1.0,1.0,0.9766268198688084,1.0
27,27,0.7265198250961424,False,1.0,1.0,0.9766268198688084,1.0
28,28,0.28961237184935384,False,1.0,1.0,0.9766268198688084,1.0
29,29,0.7337419376428407,False,1.0,1.0,0.9766268198688084,1.0
30,30,0.73460446334563,False,1.0,1.0,0.9766268198688084,1.0
31,31,0.5619140416291319,False,1.0,1.0,0.9766268198688084,1.0
32,32,0.8720592780781705,False,1.0,1.0,0.9766268198688084,1.0
33,33,0.775907553462353,False,1.0,1.0,0.9766268198688084,1.0
34,34,0.95959517706541,False,1.0,1.0,0.9766268198688084,1.0
35,35,0.694289304926043,False,1.0,1.0,0.9766268198688084,1.0
36,36,0.38491595766312026,False,1.0,1.0,0.9766268198688084,1.0
37,37,0.9063161725833193,False,1.0,1.0,0.9766268198688084,1.0
38,38,0.936106683981472,False,1.0,1.0,0.9766268198688084,1.0
39,39,0.33931511352900273,False,1.0,1.0,0.9766268198688084,1.0
40,40,0.8629100890869266,False,1.0,1.0,0.9766268198688084,1.0
41,41,0.4110364046169577,False,1.0,1.0,0.9766268198688084,1.0
42,42,0.5228078809688881,False,1.0,1.0,0.9766268198688084,1.0
43,43,0.8938227477145517,False,1.0,1.0,0.9766268198688084,1.0
44,44,0.12295377369436217,False,1.0,1.0,0.9766268198688084,1.0
45,45,0.41278199501164337,False,1.0,1.0,0.9766268198688084,1.0
46,46,0.4750414394745375,True,1.0,1.0,0.9766268198688084,1.0
47,47,0.0027999713177340674,True,0.13999856588670337,0.13999856588670337,0.10231986627026123,0.46035808854031207
48,48,0.024305006700585097,True,1.0,1.0,0.30381258375731374,1.0
49,49,0.004092794650810449,True,0.20463973254052245,0.200546937889712,0.10231986627026123,0.46035808854031207
50,50,0.011091231190346657,True,0.5545615595173329,0.5323790971366396,0.1848538531724443,0.8316954430042248
