,ROI,pvalue,signal,bonferroni,holm,fdr_bh,fdr_by
1,1,0.2825687776554621,False,1.0,1.0,0.72231076916107,1.0
2,2,0.16000415251155725,False,1.0,1.0,0.5333471750385242,1.0
3,3,0.32279904459120123,False,1.0,1.0,0.72231076916107,1.0
4,4,0.6567229458361373,False,1.0,1.0,0.9178687848104279,1.0
5,5,0.2067039582389813,False,1.0,1.0,0.6459498694968165,1.0
6,6,0.9482282793332939,False,1.0,1.0,0.9756424068052254,1.0
7,7,0.4897716864287597,False,1.0,1.0,0.742078312770848,1.0
8,8,0.44299902256039614,False,1.0,1.0,0.7409425661464131,1.0
9,9,0.15448642867452914,False,1.0,1.0,0.5333471750385242,1.0
10,10,0.8964013612008007,False,1.0,1.0,0.9756424068052254,1.0
11,11,0.3349597430502194,False,1.0,1.0,0.72231076916107,1.0
12,12,0.990590663684463,False,1.0,1.0,0.990590663684463,1.0
13,13,0.9208798309580555,False,1.0,1.0,0.9756424068052254,1.0
14,14,0.46057321020972586,False,1.0,1.0,0.7409425661464131,1.0
15,15,0.1274619006833733,False,1.0,1.0,0.5333471750385242,1.0
16,16,0.5456178371904852,False,1.0,1.0,0.8023791723389487,1.0
17,17,0.1598864161850783,False,1.0,1.0,0.5333471750385242,1.0
18,18,0.660865525063508,False,1.0,1.0,0.9178687848104279,1.0
19,19,0.08354228000447037,False,1.0,1.0,0.5333471750385242,1.0
20,20,0.9003872044013743,False,1.0,1.0,0.9756424068052254,1.0
21,21,0.22276406636112242,False,1.0,1.0,0.6551884304738894,1.0
22,22,0.46924425470844877,False,1.0,1.0,0.7409425661464131,1.0
23,23,0.811970140845365,False,1.0,1.0,0.9735114649172509,1.0
24,24,0.2582345260201695,False,1.0,1.0,0.7173181278338042,1.0
25,25,0.13171048917256475,False,1.0,1.0,0.5333471750385242,1.0
26,26,0.7496641463824942,False,1.0,1.0,0.9735114649172509,1.0
27,27,0.781488990602276,False,1.0,1.0,0.9735114649172509,1.0
28,28,0.3900478153469778,False,1.0,1.0,0.72231076916107,1.0
29,29,0.06297908381942309,False,1.0,1.0,0.5248256984951924,1.0
30,30,0.3641878648453198,False,1.0,1.0,0.72231076916107,1.0
31,31,0.15803758933188466,False,1.0,1.0,0.5333471750385242,1.0
32,32,0.002894208025290838,False,0.1447104012645419,0.1360277771886694,0.036177600316135476,0.16277045247030497
33,33,0.47420324233370437,False,1.0,1.0,0.7409425661464131,1.0
34,34,0.9204880629803609,False,1.0,1.0,0.9756424068052254,1.0
35,35,0.34758650658385454,False,1.0,1.0,0.72231076916107,1.0
36,36,0.7926784234037323,False,1.0,1.0,0.9735114649172509,1.0
37,37,0.10984130620393166,False,1.0,1.0,0.5333471750385242,1.0
38,38,0.37971618198081847,False,1.0,1.0,0.72231076916107,1.0
39,39,0.1333828517303026,False,1.0,1.0,0.5333471750385242,1.0
40,40,0.32005386072400455,False,1.0,1.0,0.72231076916107,1.0
41,41,0.34916305990844815,False,1.0,1.0,0.72231076916107,1.0
42,42,0.9082310753757947,False,1.0,1.0,0.9756424068052254,1.0
43,43,0.8177496305304908,False,1.0,1.0,0.9735114649172509,1.0
44,44,0.7006895430900915,False,1.0,1.0,0.946877760932556,1.0
45,45,0.9561295586691209,False,1.0,1.0,0.9756424068052254,1.0
46,46,0.0009760253370473359,True,0.0488012668523668,0.046849216178272125,0.016267088950788933,0.07318897344646916
47,47,0.41306513307607096,True,1.0,1.0,0.7376163090644123,1.0
48,48,0.0007914311293230398,True,0.03957155646615199,0.03878012533682895,0.016267088950788933,0.07318897344646916
49,49,0.0005926941199645659,True,0.029634705998228296,0.029634705998228296,0.016267088950788933,0.07318897344646916
50,50,0.04057687071852726,True,1.0,1.0,0.4057687071852726,1.0
