,ROI,pvalue,signal,bonferroni,holm,fdr_bh,fdr_by
1,1,0.4912710836408633,False,1.0,1.0,0.6140888545510791,1.0
2,2,0.4360330020825044,False,1.0,1.0,0.5874569381905763,1.0
3,3,0.042888540433077486,False,1.0,1.0,0.11286458008704602,0.5078009212359462
4,4,0.14355005631257867,False,1.0,1.0,0.2760578006011128,1.0
5,5,0.6365547960201161,False,1.0,1.0,0.7072831066890178,1.0
6,6,0.09008695352283312,False,1.0,1.0,0.19584120331050678,0.8811297873994902
7,7,0.2721096461860142,False,1.0,1.0,0.45351607697669033,1.0
8,8,0.8047922712248707,False,1.0,1.0,0.8747742078531203,1.0
9,9,0.9034511481148888,False,1.0,1.0,0.9034511481148888,1.0
10,10,0.5274722940699226,False,1.0,1.0,0.6279432072260983,1.0
11,11,0.6056618835543843,False,1.0,1.0,0.704258004133005,1.0
12,12,0.6303516238090076,False,1.0,1.0,0.7072831066890178,1.0
13,13,0.35978606012909653,False,1.0,1.0,0.5621657189517133,1.0
14,14,0.8541756333712336,False,1.0,1.0,0.9034511481148888,1.0
15,15,0.4504069183992787,False,1.0,1.0,0.5874569381905763,1.0
16,16,0.4582164117886495,False,1.0,1.0,0.5874569381905763,1.0
17,17,0.5228228746281571,False,1.0,1.0,0.6279432072260983,1.0
18,18,0.3889671784215574,False,1.0,1.0,0.5852975136361426,1.0
19,19,0.8938674382408119,False,1.0,1.0,0.9034511481148888,1.0
20,20,0.9008846273428911,False,1.0,1.0,0.9034511481148888,1.0
21,21,0.06788146377975703,False,1.0,1.0,0.1616225328089453,0.7271729624083292
22,22,0.014996359840779046,False,0.7498179920389523,0.5274249218702423,0.04686362450243452,0.21084906953481897
23,23,0.2542189285910306,False,1.0,1.0,0.45351607697669033,1.0
24,24,0.27004461719189204,False,1.0,1.0,0.45351607697669033,1.0
25,25,0.11164112597025153,False,1.0,1.0,0.22328225194050305,1.0
26,26,0.014650692274173396,False,0.7325346137086698,0.5274249218702423,0.04686362450243452,0.21084906953481897
27,27,0.305249838255891,False,1.0,1.0,0.49233844879982425,1.0
28,28,0.4241683262345795,False,1.0,1.0,0.5874569381905763,1.0
29,29,0.4431884412264588,False,1.0,1.0,0.5874569381905763,1.0
30,30,0.15138939307890267,False,1.0,1.0,0.2803507279238938,1.0
31,31,4.4469390335809537e-07,True,2.2234695167904768e-05,2.1790001264546674e-05,1.1117347583952384e-05,5.0019229597782284e-05
32,32,0.000568349471312267,True,0.02841747356561335,0.024087018239068985,0.0031574970628459277,0.014206227640915876
33,33,0.002106865759950253,True,0.10534328799751266,0.08427463039801013,0.009576662545228423,0.04308737124687117
34,34,0.08067467694665832,True,1.0,1.0,0.18335153851513256,0.8249362208781973
35,35,0.398002309272577,True,1.0,1.0,0.5852975136361426,1.0
36,36,0.0025907981055358752,True,0.12953990527679377,0.10104112611589913,0.010794992106399481,0.048568886112336535
37,37,0.028607553078799405,True,1.0,0.9440492516003803,0.07946542521888723,0.3575312653574351
38,38,4.726066109294419e-06,True,0.00023630330546472095,0.0002268511732461321,7.876776848824032e-05,0.000354392364470587
39,39,0.0019134053835352376,True,0.09567026917676189,0.07844962072494474,0.009567026917676188,0.04304401857995
40,40,0.005302195710880395,True,0.26510978554401976,0.19939943110697153,0.01893641325314427,0.08519881159735875
41,41,0.00035431100006090723,True,0.017715550003045363,0.015589684002679918,0.0025307928575779085,0.011386556735020504
42,42,0.005247353450183461,True,0.2623676725091731,0.19939943110697153,0.01893641325314427,0.08519881159735875
43,43,0.10960119342222972,True,1.0,1.0,0.22328225194050305,1.0
44,44,4.2510638595336103e-07,True,2.125531929766805e-05,2.125531929766805e-05,1.1117347583952384e-05,5.0019229597782284e-05
45,45,0.05488112348927424,True,1.0,1.0,0.1372028087231856,0.6173036094411475
46,46,0.017057665887746477,True,0.8528832943873238,0.5799606401833802,0.05016960555219552,0.22572335712231958
47,47,8.907120305204263e-06,True,0.0004453560152602132,0.00041863465434460034,0.00011133900381505328,0.0005009370403289678
48,48,0.00012036857276649219,True,0.0060184286383246095,0.00553695434725864,0.001203685727664922,0.005415629251580954
49,49,0.00033342130080163466,True,0.016671065040081732,0.01500395853607356,0.0025307928575779085,0.011386556735020504
50,50,0.0005601632148620695,True,0.028008160743103472,0.024087018239068985,0.0031574970628459277,0.014206227640915876
