,ROI,pvalue,signal,bonferroni,holm,fdr_bh,fdr_by
1,1,0.005470254957867137,False,0.27351274789335683,0.21471721147397085,0.021040900808102937,0.09466733323907663
2,2,0.46648044706915615,False,1.0,1.0,0.5980518552168669,1.0
3,3,0.01775516538281763,False,0.8877582691408816,0.6214307883986171,0.055484891821305095,0.24963792147904648
4,4,0.023544876775448205,False,1.0,0.7769809335897908,0.06540243548735612,0.29425898688445845
5,5,0.36020986525872883,False,1.0,1.0,0.5297203900863658,1.0
6,6,0.31893325027568964,False,1.0,1.0,0.5144084681865962,1.0
7,7,0.00040104634685213833,False,0.020052317342606915,0.01925022464890264,0.006684105780868972,0.030073164411244243
8,8,0.13557023474898236,False,1.0,1.0,0.2824379890603799,1.0
9,9,0.01907929780258059,False,0.9539648901290295,0.6486961252877401,0.05611558177229585,0.2524755250733748
10,10,0.829203808050114,False,1.0,1.0,0.8563352008920834,1.0
11,11,0.07167421718267696,False,1.0,1.0,0.17918554295669237,0.8061925514222067
12,12,0.5264536019817729,False,1.0,1.0,0.6580670024772162,1.0
13,13,0.8686778561445638,False,1.0,1.0,0.8686778561445638,1.0
14,14,0.2150519518340151,False,1.0,1.0,0.3840213425607412,1.0
15,15,0.8203986344214114,False,1.0,1.0,0.8563352008920834,1.0
16,16,0.4359689224815337,False,1.0,1.0,0.5736433190546496,1.0
17,17,0.6474201413622309,False,1.0,1.0,0.7071840094571528,1.0
18,18,0.1223143009995454,False,1.0,1.0,0.27588207814835275,1.0
19,19,0.19342182652300519,False,1.0,1.0,0.35818856763519474,1.0
20,20,0.011692035574808933,False,0.5846017787404466,0.4209132806931216,0.03897345191602978,0.1753495629137263
21,21,0.4108855697419115,False,1.0,1.0,0.5706744024193215,1.0
22,22,0.6087014756237348,False,1.0,1.0,0.7071840094571528,1.0
23,23,0.1742591950656334,False,1.0,1.0,0.3464231794606077,1.0
24,24,0.5634337187293417,False,1.0,1.0,0.6871142911333435,1.0
25,25,0.0053354755630854785,False,0.26677377815427394,0.21471721147397085,0.021040900808102937,0.09466733323907663
26,26,0.2741975467582607,False,1.0,1.0,0.4569959112637678,1.0
27,27,0.38835882103210134,False,1.0,1.0,0.5547983157601448,1.0
28,28,0.3351882606368402,False,1.0,1.0,0.5237316572450628,1.0
29,29,0.07126802677052697,False,1.0,1.0,0.17918554295669237,0.8061925514222067
30,30,4.971411197668076e-06,False,0.00024857055988340384,0.00024359914868573573,0.0001242852799417019,0.000559184994989472
31,31,0.23331365115873426,False,1.0,1.0,0.40226491579092116,1.0
32,32,0.12690575594824227,False,1.0,1.0,0.27588207814835275,1.0
33,33,0.0052370051579017285,False,0.2618502578950864,0.21471721147397085,0.021040900808102937,0.09466733323907663
34,34,0.644643902274274,False,1.0,1.0,0.7071840094571528,1.0
35,35,0.5837736745272124,False,1.0,1.0,0.6949686601514433,1.0
36,36,0.180140053319516,False,1.0,1.0,0.3464231794606077,1.0
37,37,0.8392084968742417,False,1.0,1.0,0.8563352008920834,1.0
38,38,0.6506092887005805,False,1.0,1.0,0.7071840094571528,1.0
39,39,0.347904201277035,False,1.0,1.0,0.5271275776924772,1.0
40,40,0.42281789096751204,False,1.0,1.0,0.5713755283344757,1.0
41,41,0.001149774654387001,True,0.05748873271935005,0.05173985944741505,0.009581455453225009,0.04310893552411553
42,42,0.0010693802116785612,True,0.053469010583928056,0.049191489737213816,0.009581455453225009,0.04310893552411553
43,43,0.005776991820587248,True,0.2888495910293624,0.2195256891823154,0.021040900808102937,0.09466733323907663
44,44,0.005891452226268823,True,0.29457261131344115,0.2195256891823154,0.021040900808102937,0.09466733323907663
45,45,3.8058331075086435e-09,True,1.9029165537543217e-07,1.9029165537543217e-07,1.9029165537543217e-07,8.561612317046874e-07
46,46,0.10706377862026238,True,1.0,1.0,0.25491375861967236,1.0
47,47,0.0010253601014419977,True,0.05126800507209989,0.04819192476777389,0.009581455453225009,0.04310893552411553
48,48,0.0017290040499147784,True,0.08645020249573893,0.07607617819625025,0.012350028927962702,0.055565316081212596
49,49,0.004868650680739339,True,0.24343253403696694,0.20935197927179156,0.021040900808102937,0.09466733323907663
50,50,0.004960012841827272,True,0.24800064209136358,0.20935197927179156,0.021040900808102937,0.09466733323907663
