,omni,mdmr,stats,nbs_dcorr,nbs_ttest,node,label,n_signal_vertices,generating_func
0,0.14185440693000542,0.7123046336409116,5.131999918726316e-07,1.0,1.0,0,0,25,generate_graphs_1
1,0.000261165347749252,0.1449536050134694,2.0692059566278427e-07,1.0,1.0,1,0,25,generate_graphs_1
2,0.6911331244619632,0.8163234515931079,4.433682414878972e-10,0.14,1.0,2,0,25,generate_graphs_1
3,0.05796503828552946,0.22946175350157774,3.46467873823304e-07,0.14,1.0,3,0,25,generate_graphs_1
4,0.7634996487791641,0.40855986799754884,7.780987866341806e-09,0.14,0.88,4,0,25,generate_graphs_1
5,0.16839233726827324,0.7466295943081551,4.7932760352969925e-06,1.0,1.0,5,0,25,generate_graphs_1
6,0.40904197264609365,0.4867153764442369,2.7407222061956258e-08,1.0,1.0,6,0,25,generate_graphs_1
7,0.7314688831607169,0.8630354251223322,2.3250968654120554e-05,1.0,1.0,7,0,25,generate_graphs_1
8,0.027659910238021376,0.4549306739136007,7.665097498465339e-05,1.0,1.0,8,0,25,generate_graphs_1
9,0.0485366267983565,0.4742456201492939,1.809066229690083e-05,0.61,1.0,9,0,25,generate_graphs_1
10,0.2524951725562862,0.15029162126565124,3.307492285162102e-15,1.0,1.0,10,0,25,generate_graphs_1
11,0.23210135088717088,0.6576454477356284,1.1520277916967725e-08,1.0,1.0,11,0,25,generate_graphs_1
12,0.024001610636940132,0.08728914459557272,0.00017481667879425973,1.0,1.0,12,0,25,generate_graphs_1
13,0.6175361508263295,0.3322567755674746,7.000568168879077e-09,1.0,0.135,13,0,25,generate_graphs_1
14,0.49761838723911256,0.9900485288093471,1.3764263963229454e-05,1.0,1.0,14,0,25,generate_graphs_1
15,0.12306166714075517,0.7408436099333723,7.793595421661475e-11,1.0,0.0,15,0,25,generate_graphs_1
16,0.03156267630184634,0.3823184338178999,0.00012039935345125047,1.0,1.0,16,0,25,generate_graphs_1
17,0.3229836517163547,0.22107460528982978,1.3623758276632653e-08,1.0,0.135,17,0,25,generate_graphs_1
18,0.2834566639639679,0.9320205847770523,6.528357110492949e-09,1.0,1.0,18,0,25,generate_graphs_1
19,0.15040771575187065,0.048204832400530744,1.558669943093684e-10,1.0,1.0,19,0,25,generate_graphs_1
20,0.00012418694880841864,0.07388643844950378,2.0450710370497764e-11,1.0,0.135,20,0,25,generate_graphs_1
21,0.2724193893118819,0.06544382052756847,3.728592261244992e-11,0.14,0.0,21,0,25,generate_graphs_1
22,0.3455637172766455,0.22887808381971803,2.394822538118217e-09,0.14,1.0,22,0,25,generate_graphs_1
23,0.046752287837257066,0.7046898978365723,6.175774569792268e-11,0.14,1.0,23,0,25,generate_graphs_1
24,0.2783916052981115,0.9149186334485782,1.961152347551625e-11,0.61,1.0,24,0,25,generate_graphs_1
25,1.539524769264225e-05,0.15453956315258227,6.035146547309446e-12,1.0,1.0,25,1,25,generate_graphs_1
26,7.035476230848915e-07,0.15828362546727842,1.0512609335806132e-21,1.0,1.0,26,1,25,generate_graphs_1
27,0.0005060061245063047,0.6843008371736929,5.048497690110401e-12,0.14,1.0,27,1,25,generate_graphs_1
28,2.8498776320877244e-07,0.01572939716132445,3.309333821700931e-14,1.0,0.88,28,1,25,generate_graphs_1
29,4.966067767035577e-07,0.009372722626120824,6.9362208406908855e-22,1.0,1.0,29,1,25,generate_graphs_1
30,2.201391025391703e-06,0.008763142411163828,6.317790402443177e-10,1.0,1.0,30,1,25,generate_graphs_1
31,6.500632230561696e-05,0.35711976581619326,1.2570966037538294e-12,0.14,0.88,31,1,25,generate_graphs_1
32,2.925994099523847e-06,0.045857748928374055,4.428078633049242e-16,1.0,0.88,32,1,25,generate_graphs_1
33,8.971375961300592e-07,0.06306766931054883,3.617963017963706e-13,1.0,0.88,33,1,25,generate_graphs_1
34,9.928558872714468e-10,0.0018988064650099345,1.2113892796932693e-16,1.0,0.88,34,1,25,generate_graphs_1
35,0.0007550655708570126,0.3153120177465725,4.3915508366073975e-14,1.0,0.88,35,1,25,generate_graphs_1
