,omni,mdmr,stats,node,label,n_signal_vertices,generating_func
0,0.4097633830268418,0.9088017569433695,2.849357748913686e-09,0,0,25,generate_graphs_1
1,0.025341782963307996,0.6187040034530698,3.743676166806331e-05,1,0,25,generate_graphs_1
2,0.09472595260511717,0.9103221336494389,4.071377417098516e-09,2,0,25,generate_graphs_1
3,0.4970016252573498,0.37128201118273696,4.64718104348621e-12,3,0,25,generate_graphs_1
4,0.4017658895623405,0.8662829893079178,3.918432991287525e-09,4,0,25,generate_graphs_1
5,0.705539686146136,0.1149696039055166,1.4118960554557261e-08,5,0,25,generate_graphs_1
6,0.00925042742093674,0.8041113822209984,1.2240322732951528e-11,6,0,25,generate_graphs_1
7,0.14138368408240395,0.5030513365260167,1.55954482384706e-10,7,0,25,generate_graphs_1
8,0.10503420870144146,0.43962398288766186,1.848150044780231e-10,8,0,25,generate_graphs_1
9,0.22313881535853103,0.8178294900914587,5.867747989795682e-07,9,0,25,generate_graphs_1
10,0.45983917575157973,0.9497623255454188,5.869166759788023e-07,10,0,25,generate_graphs_1
11,0.016129297883521982,0.9026009078613193,8.262045941578315e-06,11,0,25,generate_graphs_1
12,0.718320434295848,0.6725738965578564,1.1493696774205332e-12,12,0,25,generate_graphs_1
13,0.0021398881234767544,0.2161521040284582,1.545831656089372e-12,13,0,25,generate_graphs_1
14,0.8443693625717994,0.8977811369576625,5.808238252543916e-08,14,0,25,generate_graphs_1
15,0.00671724618395494,0.0735575580976095,2.1047050519112426e-11,15,0,25,generate_graphs_1
16,0.08694094867453861,0.33698036965824607,1.867153489562293e-07,16,0,25,generate_graphs_1
17,0.07343561821697461,0.37808272838141643,8.941691201917831e-06,17,0,25,generate_graphs_1
18,0.37741463904062666,0.37110392728122743,1.5522446836631434e-07,18,0,25,generate_graphs_1
19,0.21208003423887134,0.574942697805243,1.0577305857964907e-12,19,0,25,generate_graphs_1
20,0.06069407909514258,0.32846781462565455,1.9971467577674374e-09,20,0,25,generate_graphs_1
21,0.21941636002377973,0.7885497003474211,1.0314207787346617e-06,21,0,25,generate_graphs_1
22,0.3553142984712278,0.8184001268402483,1.9087484147650474e-10,22,0,25,generate_graphs_1
23,0.003767897068351975,0.3391637918130828,1.6127506419843623e-13,23,0,25,generate_graphs_1
24,0.16493737285476065,0.6554141813136356,1.0552274311306972e-07,24,0,25,generate_graphs_1
25,4.03257450149378e-09,0.01669292384977908,1.9369582159724186e-16,25,1,25,generate_graphs_1
26,0.00019379346636651742,0.33475040874925627,2.24454181924846e-16,26,1,25,generate_graphs_1
27,5.373521318163752e-09,0.00101034649730523,2.88784517984276e-17,27,1,25,generate_graphs_1
28,3.183109165158226e-07,0.027741834613296344,9.584561563828254e-12,28,1,25,generate_graphs_1
29,2.6680502938138368e-08,0.14619065313994242,4.058721698380874e-16,29,1,25,generate_graphs_1
30,2.2167985096905686e-05,0.09826852861099977,1.2783343518554855e-15,30,1,25,generate_graphs_1
31,2.081238877507448e-08,0.017077287815919863,1.3900138324639334e-22,31,1,25,generate_graphs_1
32,4.334881667581043e-07,0.16109572992118726,5.926309992868137e-19,32,1,25,generate_graphs_1
33,3.0304999722678057e-07,0.0060844117364185595,9.096548286161165e-17,33,1,25,generate_graphs_1
34,1.861066368488413e-11,0.00010816514072966331,3.301819760399331e-18,34,1,25,generate_graphs_1
35,1.844648309065493e-08,0.008771514733608536,1.8753841842290484e-16,35,1,25,generate_graphs_1
36,1.7057651694699277e-08,0.009613637572072098,4.113557823659436e-15,36,1,25,generate_graphs_1
37,1.4155071900439288e-07,0.028911916639149216,4.826539359932032e-21,37,1,25,generate_graphs_1
38,3.035530265288796e-09,0.004437907779545326,6.316615747539654e-22,38,1,25,generate_graphs_1
39,1.7044418656987148e-06,0.023946826019979564,6.46320224369004e-15,39,1,25,generate_graphs_1
40,6.573418913715414e-08,0.0011829060714685401,8.596113480413287e-16,40,1,25,generate_graphs_1
41,2.9230905973367143e-07,0.013605861770720299,1.0617365622827703e-16,41,1,25,generate_graphs_1
42,1.5660680189634809e-09,0.03062108102944326,1.9011848345762302e-14,42,1,25,generate_graphs_1
43,4.311079077638752e-09,0.003530899803337007,8.058144879413153e-15,43,1,25,generate_graphs_1
44,9.272274519780597e-07,0.3677741225882705,1.4027560547057379e-21,44,1,25,generate_graphs_1
45,7.202134287110265e-07,0.0510370597439399,3.6139529002620022e-12,45,1,25,generate_graphs_1
46,2.302008984506452e-07,0.012147901245039316,2.648562166790171e-15,46,1,25,generate_graphs_1
47,1.1210604957109182e-09,0.0013340090126398114,3.207381936791037e-20,47,1,25,generate_graphs_1
48,0.00013177022039546213,0.6031397011013168,2.6239435714928306e-22,48,1,25,generate_graphs_1
49,5.573443896257904e-08,0.0008596849232247218,4.023150562438209e-19,49,1,25,generate_graphs_1
