,omni,mdmr,stats,node,label,n_signal_vertices,generating_func
0,0.13497296932893138,0.3584804910365162,6.053971380266065e-29,0,0,30,generate_graphs_1
1,2.492230326402351e-06,0.05174939793949643,1.5970011434227875e-35,1,0,30,generate_graphs_1
2,8.542020623228893e-06,0.3100942705791314,3.3750193465262875e-32,2,0,30,generate_graphs_1
3,5.291821303596759e-07,0.10839367158453822,9.170328282657679e-41,3,0,30,generate_graphs_1
4,7.669995969457852e-05,0.5860872290597781,4.022868531218453e-25,4,0,30,generate_graphs_1
5,0.004224441148154057,0.14125077240070738,1.5266187846364087e-39,5,0,30,generate_graphs_1
6,0.012075863915401372,0.4605737664997295,3.6495256921454154e-26,6,0,30,generate_graphs_1
7,0.00014056562255950917,0.08386117309298076,1.281586839310429e-35,7,0,30,generate_graphs_1
8,0.0001256644011151318,0.11805834251837403,2.680985477670579e-34,8,0,30,generate_graphs_1
9,0.0043973470528162525,0.32485537939080933,9.890209959376546e-35,9,0,30,generate_graphs_1
10,1.0123559889532365e-05,0.0977775179782072,7.147991347987601e-37,10,0,30,generate_graphs_1
11,1.1026407646544314e-05,0.14943111324265157,5.282811264652033e-36,11,0,30,generate_graphs_1
12,4.331380522422825e-06,0.038341006796424784,1.045279581846341e-34,12,0,30,generate_graphs_1
13,0.0002900265304113449,0.028241473388723442,9.082479284729384e-37,13,0,30,generate_graphs_1
14,0.0004234210577886648,0.008734282557583904,2.6027184388505466e-31,14,0,30,generate_graphs_1
15,0.0008009959658307315,0.2160942575427062,8.280880974916911e-36,15,0,30,generate_graphs_1
16,8.081316921987759e-06,0.11870466761889872,5.6074365518476066e-24,16,0,30,generate_graphs_1
17,0.014795312864991427,0.10097997018415589,1.334658204677611e-32,17,0,30,generate_graphs_1
18,4.285841389938847e-06,0.3193877693318737,1.5235178542797144e-37,18,0,30,generate_graphs_1
19,0.4881803968668881,0.8549243207330216,4.867903759465147e-38,19,0,30,generate_graphs_1
20,0.0035341161129655734,0.6901779987272465,4.998087365995272e-36,20,0,30,generate_graphs_1
21,0.04972607940996806,0.006515798300271182,2.3397399886009458e-29,21,0,30,generate_graphs_1
22,9.95417019836512e-05,0.36011554460018674,6.068798802484758e-25,22,0,30,generate_graphs_1
23,8.4885291964466e-07,0.06005506618718809,2.308094875030518e-41,23,0,30,generate_graphs_1
24,0.02151938993582706,0.6206423684217148,9.893507226552473e-31,24,0,30,generate_graphs_1
25,0.05123772311264657,0.8734883772384991,3.9243900446023665e-34,25,0,30,generate_graphs_1
26,0.00017470755177250339,0.3607099250711023,2.834182776386693e-31,26,0,30,generate_graphs_1
27,1.734155005868989e-05,0.01820917980335341,8.696298607139958e-39,27,0,30,generate_graphs_1
28,0.0015452423206943758,0.15155934660919104,4.6677558151593055e-24,28,0,30,generate_graphs_1
29,0.0007186634428156675,0.015009362747957255,2.2470791820614606e-38,29,0,30,generate_graphs_1
30,6.171335655445194e-05,0.18946142043591147,1.2461410965338822e-38,30,0,30,generate_graphs_1
31,0.0011936731102732097,0.03565386705020921,1.007704880205951e-33,31,0,30,generate_graphs_1
32,0.013869077500957349,0.21775969545296753,1.6474608782973032e-35,32,0,30,generate_graphs_1
33,0.04267613036475551,0.7065655337208052,9.657244106206304e-38,33,0,30,generate_graphs_1
34,6.578409937370516e-06,0.011056932608176825,2.581053221747171e-33,34,0,30,generate_graphs_1
35,6.983173820323865e-05,0.10852197341551778,1.2293322027310138e-34,35,0,30,generate_graphs_1
36,0.022146610004794468,0.08592407421696824,1.5459237867440806e-34,36,0,30,generate_graphs_1
37,2.285781317560544e-06,0.035591952475890115,1.0860116900400414e-32,37,0,30,generate_graphs_1
38,0.0010500794839978062,0.6115862972388408,8.05555870928189e-36,38,0,30,generate_graphs_1
39,0.00019773489817584596,0.12487293842919622,7.410624482101669e-41,39,0,30,generate_graphs_1
40,1.0576800647728596e-33,1.0206971334620959e-11,1.4606698688924942e-59,40,1,30,generate_graphs_1
41,2.0180207993704803e-27,4.661624644127643e-08,1.6981131222670015e-66,41,1,30,generate_graphs_1
42,1.3728360427579526e-36,4.785576246761448e-14,1.4806169374573578e-63,42,1,30,generate_graphs_1
43,7.260524402021983e-29,5.9732235364565e-13,4.196249518774523e-66,43,1,30,generate_graphs_1
44,2.0248690380525142e-27,5.370353858327383e-11,3.2514864117027564e-62,44,1,30,generate_graphs_1
45,9.709400689160606e-29,1.986655921548694e-09,3.856110765240366e-68,45,1,30,generate_graphs_1
46,2.0988586611916746e-29,5.524091785934389e-11,1.3129226907365035e-58,46,1,30,generate_graphs_1
47,2.4673394528396828e-28,9.142211840400393e-11,5.275700521208024e-46,47,1,30,generate_graphs_1
48,5.897587248070124e-35,1.832922182969259e-14,1.178249548057034e-48,48,1,30,generate_graphs_1
49,6.878475407264715e-36,6.920533013955399e-15,2.3267464459296922e-63,49,1,30,generate_graphs_1
50,7.17039615258508e-26,2.982340381513171e-07,2.2817502997279247e-60,50,1,30,generate_graphs_1
51,1.3108580971595813e-26,2.919820460378394e-10,3.961662452490427e-56,51,1,30,generate_graphs_1
52,1.318555018964287e-27,5.8011833968086714e-11,1.2225349462819599e-58,52,1,30,generate_graphs_1
53,2.2187808724306998e-30,1.047076806107247e-11,1.1047457831141729e-46,53,1,30,generate_graphs_1
54,1.4498109281751242e-35,4.301963342767775e-13,6.768149834099807e-60,54,1,30,generate_graphs_1
55,2.5984070549119115e-21,4.904213278344097e-07,1.3183010767039414e-62,55,1,30,generate_graphs_1
